concept,code file,function/class,line numbers,variable names,exact value/formula,notes
production cache name,analysis/levy_paper/util/paper_utils.py,module constants,45-46,"PRIMARY_CACHE_NAME, PRIMARY_CACHE_DIR","PRIMARY_CACHE_NAME = ""all_team_2020_2021_sticky_active""","Canonical processed-cache folder."
production active method,analysis/levy_paper/util/paper_utils.py,module constants,65-70,"ACTIVE_DEPTH_M, ACTIVATE_S, BENCH_OFF_S, ACTIVE_PLAYER_METHOD, MAX_ACTIVE_PLAYERS","ACTIVE_DEPTH_M=6.0; ACTIVATE_S=70; BENCH_OFF_S=110; ACTIVE_PLAYER_METHOD=""sticky_hierarchical_active_xi""; MAX_ACTIVE_PLAYERS=11","Shared constants imported by the final cache builder."
final cache builder defaults,analysis/levy_paper/scripts/build_multiseason_data_cache.py,parse_args,709-733,"--seasons, --suffix, args.cache_name","seasons default [2020,2021]; suffix default 2020_2021_all_teams_pitchfix_sticky_active; cache_name all_team_2020_2021_sticky_active","Establishes final all-team cache target."
raw 1 Hz loader call,analysis/levy_paper/scripts/build_multiseason_data_cache.py,_load_team_match_1hz,163-177,"load_day_1hz, source_key, team","index.day_loader.load_day_1hz(prefix, max_files=max_files)","Loads one source/day at 1 Hz and stamps source/team."
pitch calibration call,analysis/levy_paper/scripts/build_multiseason_data_cache.py,_process_source_match,331-337,"calibrate_pitch_from_df, attach_xy_from_pitch","calibrate pitch, then attach x_m/y_m","Coordinates are pitch-aligned metres before labelling."
match phase filtering,analysis/levy_paper/scripts/build_multiseason_data_cache.py,_process_source_match,338-340,"label_match_phases, play","play = phased.loc[match_phase in [1H,2H]]","Active reconstruction is run on first and second halves only."
production active-player call,analysis/levy_paper/scripts/build_multiseason_data_cache.py,_process_source_match,346-354,"label_active_players","active_depth_m=ACTIVE_DEPTH_M; activate_s=ACTIVATE_S; bench_off_s=BENCH_OFF_S; active_method=ACTIVE_PLAYER_METHOD; max_active_players=MAX_ACTIVE_PLAYERS","Only these parameters are passed; other selector defaults come from player_status.py."
active rows filter,analysis/levy_paper/scripts/build_multiseason_data_cache.py,_process_source_match,355,"active","play.loc[player_status == active]","Only final active rows enter transport/order/hazard tables."
metadata active method,analysis/levy_paper/scripts/build_multiseason_data_cache.py,_process_source_match,396-399,"active_player_method, max_active_players, active_players","metadata stores ACTIVE_PLAYER_METHOD and MAX_ACTIVE_PLAYERS","Final metadata confirms production method."
cache output writes,analysis/levy_paper/scripts/build_multiseason_data_cache.py,build_multiseason_cache,605-650,"_save_parquet, meta_path, errors_path","writes table_{suffix}.parquet files into cache_dir","Creates final processed data bundle."
pitch geometry conversion,src/utils/pitch_calibration.py,_pitch_geometry_from_info,135-154,"pitch_xy_rot","pitch coords converted to local metres and rotated by SVD principal axes","Returns pitch corner list used by active filter."
coordinate filtering,src/utils/pitch_calibration.py,attach_xy_from_pitch,296-321,"bad, ok, x_m, y_m","invalid lat/lon dropped; x_m/y_m added as XY_local @ R","Missing/invalid raw GPS rows generally removed before labelling."
match phase definition,src/utils/match_phases.py,label_match_phases,4-18,"1H, HT, 2H","1H [kickoff,kickoff+45min); HT [45,60); 2H [60,105)","No stoppage-time extension in phase labels."
