cache_group,relative_path,required_for,git_status,notes_code_only
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/trajectory_long_2020_2021_all_teams_pitchfix_sticky_active.parquet,local figure regeneration and audit of trajectory-level processing,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/runs_long_2020_2021_all_teams_pitchfix_sticky_active.parquet,local Figure 2/3 regeneration and run-duration audits,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/df_pmv_2020_2021_all_teams_pitchfix_sticky_active.parquet,local Figure 2 MSD and player-motion regeneration,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/msd_long_2020_2021_all_teams_pitchfix_sticky_active.parquet,local Figure 2 MSD regeneration,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/centroid_order_runs_2020_2021_all_teams_pitchfix_sticky_active.parquet,local Figure 3 order-transport regeneration,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/hazard_intervals_2020_2021_all_teams_pitchfix_sticky_active.parquet,local Figure 4/5 hazard and state-survival regeneration,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/multiseason_raw_pitch_metadata_2020_2021_all_teams_pitchfix_sticky_active.parquet,pitch/time/source audit for rebuilt cache,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
primary_processed_cache,analysis/levy_paper/data/processed/all_team_2020_2021_sticky_active/multiseason_cache_errors_2020_2021_all_teams_pitchfix_sticky_active.parquet,cache-build failure audit for rebuilt cache,ignored_optional_cache,large processed cache; rebuild from AWS or share as external cache bundle
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/figure4_panelA_hazard_audit.csv,fast local Figure 4 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/figure5_panelA_selected_transitions_crossfit_package.csv,fast local Figure 5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/figure5_crossfitted_panelB_current_high_fraction.csv,fast local Figure 5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/figure5_crossfitted_panelC_survival.csv,fast local Figure 5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/figure5_crossfitted_panelD_high_exposure_counterfactuals.csv,fast local Figure 5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/fold_summary.csv,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/state_thresholds.csv,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/pi0.csv,fast local Figure 5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/out_of_fold_interval_predictions.parquet,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/fold_curves.csv,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/transition_matrices.csv,fast local Figure 5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/hazard_parameters.csv,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/crossfitted_validation_metrics.csv,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/crossfitted_fixture_level_curve_metrics.csv,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
derived_model_cache,analysis/levy_paper/data/processed/figure4_fig5_crossfitted/robustness_fold_curves.csv,fast local Figure 4/5 regeneration,ignored_optional_cache,derived by build_figure4_figure5_model_cache.py; may be deleted and rebuilt
