figure_id,role,description_short,png_path,pdf_path,source_png,source_pdf,source_notebook,source_script,status,generated_at,notes_code_only
figure1_transport_mechanism_schematic,main,"real-match schematic of trajectories, run segmentation, and polarisation",analysis/levy_paper/figures/main_figures/figure1_transport_mechanism_schematic.png,analysis/levy_paper/figures/main_figures/figure1_transport_mechanism_schematic.pdf,analysis/levy_paper/outputs/final/figure1_transport_mechanism/real_match_transport_mechanism_4panel.png,analysis/levy_paper/outputs/final/figure1_transport_mechanism/real_match_transport_mechanism_4panel.pdf,analysis/levy_paper/notebooks_publication/01_figure1_transport_mechanism.ipynb,analysis/levy_paper/scripts/create_real_match_transport_mechanism_4panel.py,copied,2026-08-05T19:50:36,
figure2_transport_phenotype,main,transport phenotype and MSD scaling,analysis/levy_paper/figures/main_figures/figure2_transport_phenotype.png,analysis/levy_paper/figures/main_figures/figure2_transport_phenotype.pdf,analysis/levy_paper/outputs/final/figure2_transport_phenotype/main/figure2_transport_phenotype_v2.png,analysis/levy_paper/outputs/final/figure2_transport_phenotype/main/figure2_transport_phenotype_v2.pdf,analysis/levy_paper/notebooks_publication/02_figure2_transport_phenotype.ipynb,analysis/levy_paper/scripts/create_final_figure2_transport_phenotype.py,copied,2026-08-05T19:50:36,
figure3_order_transport,main,order-stratified duration and length survival with order-speed phenotype,analysis/levy_paper/figures/main_figures/figure3_order_transport.png,analysis/levy_paper/figures/main_figures/figure3_order_transport.pdf,analysis/levy_paper/outputs/final/figure3_order_transport/figure3_three_panel_candidate_house_style_cluster_bootstrap.png,analysis/levy_paper/outputs/final/figure3_order_transport/figure3_three_panel_candidate_house_style_cluster_bootstrap.pdf,analysis/levy_paper/notebooks_publication/03_figure3_order_transport.ipynb,analysis/levy_paper/scripts/create_final_figure3_order_transport.py,copied,2026-08-05T19:50:36,generated by final Figure 3 script
figure4_killed_transport,main,age-structured killed transport with order-state and tempered survival,analysis/levy_paper/figures/main_figures/figure4_killed_transport.png,analysis/levy_paper/figures/main_figures/figure4_killed_transport.pdf,analysis/levy_paper/outputs/final/fig4_fig5_polished/figure4_final_polished.png,analysis/levy_paper/outputs/final/fig4_fig5_polished/figure4_final_polished.pdf,analysis/levy_paper/notebooks_publication/04_figure4_killed_transport.ipynb,analysis/levy_paper/scripts/create_final_fig4_fig5_polished.py,copied,2026-08-05T19:50:36,latest polished Figure 4 output
figure5_state_structured_survival,main,state-structured switching validation and cross-fitted survival diagnostics,analysis/levy_paper/figures/main_figures/figure5_state_structured_survival.png,analysis/levy_paper/figures/main_figures/figure5_state_structured_survival.pdf,analysis/levy_paper/outputs/final/fig4_fig5_polished/figure5_final_polished.png,analysis/levy_paper/outputs/final/fig4_fig5_polished/figure5_final_polished.pdf,analysis/levy_paper/notebooks_publication/05_figure5_state_structured_survival.ipynb,analysis/levy_paper/scripts/create_final_fig4_fig5_polished.py,copied,2026-08-05T19:50:36,latest polished Figure 5 output
figure4_tail_boundary_diagnostics,supplementary,tail and boundary diagnostic,analysis/levy_paper/figures/supplementary_figures/figure4_tail_boundary_diagnostics.png,analysis/levy_paper/figures/supplementary_figures/figure4_tail_boundary_diagnostics.pdf,analysis/levy_paper/figures/supplementary_figures/figure4_tail_boundary_diagnostics.png,analysis/levy_paper/figures/supplementary_figures/figure4_tail_boundary_diagnostics.pdf,,,copied,2026-08-05T19:50:36,
figure5A_selected_transitions,supplementary,selected transition-rate panel used during Figure 5 design,analysis/levy_paper/figures/supplementary_figures/figure5A_selected_transitions.png,analysis/levy_paper/figures/supplementary_figures/figure5A_selected_transitions.pdf,analysis/levy_paper/figures/supplementary_figures/figure5A_selected_transitions.png,analysis/levy_paper/figures/supplementary_figures/figure5A_selected_transitions.pdf,,,copied,2026-08-05T19:50:36,single-panel Figure 5A diagnostic retained outside final main folder
supplementary_crossfitted_generative_survival,supplementary,cross-fitted generative survival diagnostic,analysis/levy_paper/figures/supplementary_figures/supplementary_crossfitted_generative_survival.png,analysis/levy_paper/figures/supplementary_figures/supplementary_crossfitted_generative_survival.pdf,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_crossfitted_generative_survival.png,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_crossfitted_generative_survival.pdf,,,copied,2026-08-05T19:50:36,
supplementary_fixture_survival_error,supplementary,fixture-level survival error diagnostic,analysis/levy_paper/figures/supplementary_figures/supplementary_fixture_survival_error.png,analysis/levy_paper/figures/supplementary_figures/supplementary_fixture_survival_error.pdf,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_fixture_survival_error.png,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_fixture_survival_error.pdf,,,copied,2026-08-05T19:50:36,
supplementary_full_transition_matrices,supplementary,full transition matrices,analysis/levy_paper/figures/supplementary_figures/supplementary_full_transition_matrices.png,analysis/levy_paper/figures/supplementary_figures/supplementary_full_transition_matrices.pdf,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_full_transition_matrices.png,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_full_transition_matrices.pdf,,,copied,2026-08-05T19:50:36,
supplementary_late_early_transition_contrast,supplementary,late versus early transition contrast,analysis/levy_paper/figures/supplementary_figures/supplementary_late_early_transition_contrast.png,analysis/levy_paper/figures/supplementary_figures/supplementary_late_early_transition_contrast.pdf,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_late_early_transition_contrast.png,analysis/levy_paper/outputs/final/fig4_fig5_polished/supplementary_late_early_transition_contrast.pdf,,,copied,2026-08-05T19:50:36,
